,SpeciesUID,A,R,N,D,C,E,Q,G,H,O,I,L,K,M,F,P,U,S,T,W,Y,V
21,42,0.00443546932246441,-0.180484911988464,-0.446823632709049,-0.228574516976279,-0.845394986351777,-0.00829314145283622,-0.432314489216605,0.0578439952565502,-0.917223644570524,0,-0.134220768234194,0.450040454517336,-0.103567136992226,-1.01668738858324,-0.361268954020279,-0.346639826262186,0,0.103449052553444,-0.158444073837883,-1.45251810957159,-0.586438860928761,0.106690916720332
22,43,0.0397238378505298,-0.205618998566558,-0.501375194801565,-0.285524670477773,-0.8024376953951,-0.0538937987139874,-0.439491169134149,0.0444561445674529,-0.848326032711524,0,-0.134485950656156,0.50574438178912,-0.156728765044676,-1.01068318283066,-0.318948566651591,-0.275180772923425,0,0.105913183218023,-0.16197562932951,-1.51223448953285,-0.596776908548263,0.0873416045095636
23,45,0.0427631324805371,-0.151254363480031,-0.469651401338802,-0.227428347299688,-0.905550932224854,0.0666439703155088,-0.342773749514659,0.0193035374927639,-0.845479755231278,0,-0.194815700963786,0.488644541342917,-0.0654418677239184,-1.06167608273056,-0.392201073306889,-0.284279408512002,0,0.084995169184106,-0.198273974218524,-1.51646770027737,-0.65903466675577,0.0445467212392554
24,46,0.0348747653272619,-0.145626105435218,-0.475707044014039,-0.24160000377481,-0.873053439406911,0.0561924604175337,-0.349249583452425,0.0124428120166602,-0.811392526637544,0,-0.19979893137741,0.483661680519151,-0.0709667107364083,-1.07518634978487,-0.388108492365881,-0.297932930915902,0,0.0879500054287106,-0.197944545441569,-1.5205185488819,-0.655685009573001,0.0408373923193572
25,47,0.0279803966382071,-0.157869827888502,-0.468116805104393,-0.235607343675575,-0.887239652668382,0.058333802209706,-0.35648389454711,0.00823434080709395,-0.830029102709478,0,-0.188832645111483,0.475824728734885,-0.0599444439950418,-1.070288949276,-0.391711786979921,-0.297278458508852,0,0.0839457984994789,-0.191963151454645,-1.51947086276809,-0.654807983456216,0.0455282368700578
26,49,0.0472076552005687,-0.149790727613967,-0.497646472881467,-0.243009368680319,-0.897405897686653,0.025019716867432,-0.364523243362639,0.0302101539621553,-0.854393953319905,0,-0.218820594079398,0.499598141464601,-0.115522945430806,-1.06475428397058,-0.38266689569308,-0.270552406887743,0,0.104697980739242,-0.194523890537646,-1.50246906180221,-0.658602417130551,0.0591363889765248
27,50,0.0539646905931925,-0.132311833676129,-0.488824899338999,-0.232629667621049,-0.901264581739713,0.050612445072709,-0.35314301783126,0.0178699615277518,-0.830091563161074,0,-0.215266122903713,0.482218080447459,-0.0767986167004349,-1.07529928558142,-0.393720502864908,-0.292548900630983,0,0.0749439212847625,-0.213639498943926,-1.52452349457789,-0.659764199740393,0.042644459290242
28,51,0.0435102790549595,-0.14639292416573,-0.490812330533638,-0.24184290254712,-0.903919522295206,0.0298118398863472,-0.367605712391744,0.0226574806961048,-0.8649905424008,0,-0.216091713274324,0.494663401380238,-0.106287213136139,-1.06647498303079,-0.383029649243986,-0.277172495304636,0,0.0985074910135064,-0.195347170035676,-1.51165839978216,-0.660341884637992,0.0556366339706118
29,53,0.0344013052587671,-0.160015313985371,-0.494479457206035,-0.253510504662678,-0.900296576428517,0.018288260391083,-0.373412066004772,-0.00444031531286582,-0.86363060434634,0,-0.196697368743823,0.50109286644605,-0.114355331113553,-1.04941490612787,-0.377506844441512,-0.287710431370369,0,0.110467349633562,-0.188694381007231,-1.52812433350326,-0.655951662044191,0.0572577816910438
30,54,0.0131085525001735,-0.181827625857037,-0.503366082624515,-0.292658255461804,-0.848196747689134,-0.0239869391018717,-0.397756637400937,-0.0390447398571356,-0.825325385380575,0,-0.163107107814279,0.507552703937364,-0.111692670443565,-1.01010899338812,-0.338660366287951,-0.319465822360253,0,0.122540285177202,-0.180211684866963,-1.56876179689672,-0.635510513633507,0.0545385264379439
31,55,0.0367467892038844,-0.155784645956186,-0.49858007491601,-0.254332755656351,-0.90379979808883,0.0171861925169465,-0.375228721669205,-0.00183469046659468,-0.860675200008492,0,-0.203243473776114,0.500574545804259,-0.119610227098109,-1.05102337552804,-0.379200676053393,-0.289372177858213,0,0.105638440450263,-0.193213497653911,-1.53198666824602,-0.658917035495797,0.0569288781457433
32,57,0.0443988905556858,-0.181947750928313,-0.529499384263442,-0.286389406575324,-0.854414285122537,-0.0517938422255706,-0.435584569845203,0.0296930908847495,-0.856242122399538,0,-0.164675027759621,0.498526998022854,-0.166600369647137,-1.0323483740587,-0.335433967140122,-0.306100345939653,0,0.0748103793685595,-0.1971669376312,-1.49280281525945,-0.624539887312016,0.0762871265303668
33,58,0.0436914861293398,-0.175981363629941,-0.509284325894804,-0.274019340611982,-0.835948721403664,-0.0385641653724411,-0.422306257472733,0.06271157807228,-0.858797656406302,0,-0.21140724916674,0.472027416395965,-0.150497083036202,-1.07925867411137,-0.38211854816084,-0.27778713793318,0,0.0823260096301466,-0.188873236647564,-1.48181757541863,-0.642270983604303,0.059640508777655
