,SpeciesUID,A,R,N,D,C,E,Q,G,H,O,I,L,K,M,F,P,U,S,T,W,Y,V
39,65,-0.218572492283157,-0.425379219350317,-0.844075505147076,-0.572900922092427,-1.28809259326483,-0.205618041333246,-0.59343835847171,-0.252685408570674,-1.15669300166841,0,-0.631885465042169,0.168616737284937,-0.383507494269721,-1.37470553071787,-0.794839390973596,-0.331427508735417,0,-0.0378514847667404,-0.465170028948632,-1.93462207478828,-1.10134744315777,-0.328636170068246
40,67,-0.224451557396138,-0.416324118184238,-0.818932618933263,-0.545306033441513,-1.33176795637084,-0.159898462017891,-0.563169426008097,-0.276718310045039,-1.1717000027806,0,-0.642047123132163,0.149587833801188,-0.362523881345904,-1.36656027514822,-0.849825982083895,-0.326525238211206,0,-0.0245310490747213,-0.463046645373477,-1.94681602575094,-1.1436529499635,-0.345535432292709
41,68,-0.208983783202302,-0.409435448875045,-0.831232978365998,-0.552178132702921,-1.33502707933012,-0.162232116336605,-0.566258511228238,-0.266426386688863,-1.17321383871365,0,-0.656200197881701,0.142994926922008,-0.364649163807523,-1.37317270388676,-0.858305947604848,-0.308266222972411,0,-0.0220484240105305,-0.465763734975075,-1.95543678754331,-1.14839902172867,-0.353317766233411
42,69,-0.192430667189845,-0.398091083682157,-0.848456674189568,-0.553414251984451,-1.34570443764615,-0.182919230540056,-0.595702884967781,-0.248523636301305,-1.19370299256564,0,-0.658098278069383,0.154314019535649,-0.39085339309583,-1.37733111028754,-0.833340205927082,-0.305738522617005,0,-0.0362792801917022,-0.476087840807734,-1.95698481755332,-1.13359670332565,-0.332639333465488
43,72,-0.298430544813912,-0.491474512992357,-0.744436278258404,-0.558795494064202,-1.28672084053014,-0.206008407851336,-0.613971639148054,-0.332285324221091,-1.18869302359677,0,-0.552232056545599,0.112072584088685,-0.324180239978308,-1.32863278607766,-0.80429978443304,-0.453099986474587,0,-0.0424650175289965,-0.457587792082924,-1.9482508331962,-1.06807441956713,-0.353312115537951
44,73,-0.208636309864672,-0.406754473602948,-0.872531066845678,-0.549602855054458,-1.32464623442725,-0.1905911176522,-0.57983627496842,-0.258348195003079,-1.18677021228343,0,-0.69114850723439,0.153938483215872,-0.405979082887589,-1.38211712785124,-0.848747644124765,-0.307941070949206,0,-0.0277596282158981,-0.47500883353252,-1.95333126075632,-1.14748396111466,-0.334385797680038
45,75,-0.192571329709087,-0.399395718919353,-0.85228696915931,-0.548400690854017,-1.35766766564148,-0.178023512510244,-0.578366947710414,-0.256885878927975,-1.19722093095384,0,-0.681861492768947,0.13852832136724,-0.390834014626613,-1.38853840036169,-0.863447555838357,-0.303307146763406,0,-0.0376137876916713,-0.486065628173664,-1.96847724035214,-1.15444466802638,-0.348547659672418
46,76,-0.230499218474737,-0.430437234603492,-0.868633048830219,-0.573785124415736,-1.32264732519805,-0.212085574417914,-0.593656222925799,-0.293170931216511,-1.19704378640624,0,-0.658955539436706,0.15414004779275,-0.406171937019453,-1.35736166198415,-0.829025574812717,-0.340112459869241,0,-0.0116518903458744,-0.45390581107384,-1.97656478745684,-1.13938296298091,-0.33073080144685
47,77,-0.225499428559369,-0.41765987990235,-0.842935429124937,-0.562603059017462,-1.34437225494642,-0.180470325791739,-0.579228830264186,-0.280394647042022,-1.17986754313099,0,-0.671028161355277,0.132285078759087,-0.382107135128235,-1.38407514633497,-0.867104201616443,-0.325191750787783,0,-0.0311697783082252,-0.477582636499063,-1.96448804520486,-1.16054789322526,-0.359850969808684
48,80,-0.235670810948399,-0.426938610312091,-0.839540404693367,-0.552726991261408,-1.36538739367459,-0.168541126816622,-0.575626822723658,-0.291741221968302,-1.18822942639841,0,-0.665994319576625,0.129089877455616,-0.36943959891203,-1.38667305610233,-0.874423765099379,-0.333355786709318,0,-0.0311490946675281,-0.476405447651408,-1.98353214770529,-1.16350864211724,-0.361062001191291
49,82,-0.202330083943143,-0.413693465562954,-0.871102965956396,-0.571956879347001,-1.35503730834039,-0.188621191340206,-0.585369453135956,-0.27663499635876,-1.19567482357032,0,-0.684437866532444,0.145957085807317,-0.399862977595563,-1.40011457854218,-0.860781208239078,-0.311314576360902,0,-0.0191971393697501,-0.488573228465854,-1.99471553818707,-1.17551041284021,-0.357921886466401
50,83,-0.276085221609328,-0.476105079408257,-0.795670102539909,-0.569597093591605,-1.27893634601075,-0.211625076870277,-0.626479480259613,-0.338620057145005,-1.18920711386087,0,-0.586843708916152,0.112827753926535,-0.349426136163698,-1.3836607526892,-0.802273151855768,-0.464726691792618,0,-0.0687995220301949,-0.506493629463788,-1.96748256578026,-1.07948681540722,-0.350803294895489
51,84,-0.297792787221848,-0.434563870637958,-0.800885912513654,-0.523465262863184,-1.30274182161324,-0.282359577595801,-0.630666070368465,-0.260940067276844,-1.19051857988897,0,-0.656904680618953,0.0840391519691668,-0.458836877583598,-1.33529054547082,-0.848533487694914,-0.406175795541973,0,-0.0297344068724357,-0.450593839508085,-1.98379625258753,-1.12608277936024,-0.305619516273435
52,86,-0.372574798306968,-0.543604040067052,-0.701715441486655,-0.559717342105557,-1.27511302542799,-0.261880480060697,-0.652260771127187,-0.37057595186917,-1.20505625520058,0,-0.511954979742681,0.0797290393116912,-0.335552582665222,-1.35336048929964,-0.80731543671738,-0.488879606344113,0,-0.0470404098659176,-0.45126900449792,-2.0051791074654,-1.03571641961374,-0.37078818773423
53,87,-0.288984585889402,-0.433933279302856,-0.801069725770614,-0.516504773099389,-1.33919722183392,-0.254258301158782,-0.627145586030594,-0.308959870254681,-1.21836606882458,0,-0.674134198285869,0.0985576204411398,-0.423324093490892,-1.31570952366155,-0.845159674465461,-0.4362056192775,0,-0.0147028085785172,-0.463332097820491,-1.99172707250285,-1.14102650526658,-0.318019757827232
54,15,-0.137263735384891,-0.339315039731922,-0.79729079681415,-0.492014953159446,-1.31557009187079,-0.0702123868604305,-0.471890691324858,-0.211592240334661,-1.11442746331219,0,-0.628992352094496,0.188214386477327,-0.292512812610149,-1.34113261220013,-0.846703387346442,-0.207417027232664,0,0.0807611641898389,-0.385129624311974,-1.94372348963065,-1.14097945028326,-0.292607336261546
55,20,-0.186838487934298,-0.377525199355152,-0.787312688976631,-0.527469066988286,-1.26865323686619,-0.130079828851719,-0.533246972460059,-0.232441606777511,-1.11080962237856,0,-0.612086849839135,0.182697920177737,-0.318270484099605,-1.3189769049384,-0.799689052822372,-0.281546346351908,0,0.0221366328908577,-0.416641011112438,-1.91054983215781,-1.10003752619488,-0.309444028934665
56,35,-0.184676029571141,-0.379070620754375,-0.831908062476288,-0.546499916207981,-1.33266453772347,-0.136695977729694,-0.521893942136577,-0.245759939522642,-1.14199518781121,0,-0.670165714118852,0.155470970327622,-0.354647973990807,-1.3528469742024,-0.859742747771473,-0.260655020604948,0,0.0190131643664744,-0.44066224271832,-1.96255277723266,-1.1607939243067,-0.345014305346718
57,407,-0.301359142827101,-0.492043680067384,-0.941255204166481,-0.63632097061298,-1.46549141154708,-0.239558311441164,-0.639809400655347,-0.367352469896423,-1.26648804138092,0,-0.781618588816276,0.0500760883423634,-0.453537307901345,-1.48805943197157,-0.972285777651548,-0.38385509853718,0,-0.0909449261235835,-0.559472710314558,-2.06790040575845,-1.26728689535793,-0.439044644425089
58,408,-0.329974239419184,-0.514216377712992,-0.932487807963823,-0.653405266549536,-1.44431409618169,-0.264118421925409,-0.658493696186216,-0.395977217166472,-1.26644561429732,0,-0.751063722315821,0.0570301751001021,-0.448540561996874,-1.47119954252956,-0.939747897585038,-0.406256108852859,0,-0.0797762030157534,-0.553662650210179,-2.06856703072434,-1.25179785853594,-0.442498208006898
59,409,-0.291053445527743,-0.483977389067093,-0.961526394652078,-0.654008833291832,-1.45354148689745,-0.255791223755622,-0.650676324302002,-0.36757751241755,-1.26724282021542,0,-0.79005402889496,0.0568586864112617,-0.471378395831288,-1.47798576988506,-0.964500655879935,-0.363985260538138,0,-0.0778404352731554,-0.56419480639193,-2.08755363824657,-1.27062491473151,-0.449383374671458
60,410,-0.307201421972725,-0.507250080701247,-0.954514012920092,-0.664919894215155,-1.42794761737368,-0.290028745551874,-0.692317541838838,-0.362878890446896,-1.28808939659924,0,-0.751284711991684,0.0618935983902129,-0.490845134145781,-1.45315373998818,-0.920958470342119,-0.408303725137513,0,-0.123177016736851,-0.56382930087845,-2.04533471250562,-1.2323369680498,-0.423720663622751
61,411,-0.282161268394162,-0.476019351442582,-0.974627239350171,-0.65238088174107,-1.46789928837991,-0.251843214933718,-0.639771089811324,-0.365049209362213,-1.26691839628351,0,-0.80217843470401,0.0512963816725884,-0.476216840448516,-1.49106528796374,-0.986366508457102,-0.340821832111896,0,-0.0697809542670775,-0.556824106731659,-2.08369568217985,-1.29185975813061,-0.455959356191086
62,412,-0.313777669927712,-0.499936153991893,-0.957249235617221,-0.654694108090578,-1.44996507219458,-0.26489849702831,-0.657929958916738,-0.375615346083563,-1.27155843968033,0,-0.776655772059056,0.0537600347071803,-0.477729724353876,-1.48032188115906,-0.952432787784114,-0.398574092777026,0,-0.0940449608587008,-0.551817549952667,-2.06151370069895,-1.26704901810797,-0.434878591624318
63,413,-0.322406433617167,-0.506394482239537,-0.956279857501831,-0.66490803876964,-1.4285659342702,-0.282933201433741,-0.672560549050765,-0.374210354245056,-1.26790901571008,0,-0.771479585911312,0.0529149096282784,-0.488994402086407,-1.48729206710236,-0.938333800563038,-0.404031026291014,0,-0.10993794028471,-0.546704456840227,-2.03577912315874,-1.25804381280682,-0.43418708757004
64,414,-0.322727386528535,-0.518664279925321,-0.958201443870341,-0.641162855724775,-1.48144588031068,-0.226097575432389,-0.678311761375105,-0.398319563040421,-1.30221096472906,0,-0.75409813893322,0.0295392692132563,-0.42881379288828,-1.50697468301135,-0.975401645684273,-0.393082681501147,0,-0.100284614512468,-0.527758838068197,-2.07612345382285,-1.27272273430473,-0.393741448875951
65,415,-0.307899305842379,-0.50983125026698,-0.965479289319059,-0.665712609229983,-1.43268615020179,-0.282325003866365,-0.657248546289107,-0.369317096594058,-1.2565030360275,0,-0.793757421276662,0.0522072724952887,-0.491630292134477,-1.46587126913329,-0.963036933848767,-0.371160000381409,0,-0.0840503971691242,-0.559183404478965,-2.09103595840681,-1.27452730867713,-0.448456208699052
66,416,-0.29943916446173,-0.495743609603791,-0.949757452218823,-0.652606322420504,-1.48823805542911,-0.250850986516522,-0.645008325013878,-0.371443558154324,-1.28220292132395,0,-0.784060877862887,0.0407543728440638,-0.477888128974699,-1.47310274998597,-0.977296933261264,-0.369952617793044,0,-0.0772499786141245,-0.555501878374247,-2.12575707714527,-1.2747007937194,-0.451402639130074
